Orig,Dest,Orig_txt,Dest_txt,Mode,Equipment,Rate,extraction_time
Dalian,Hong Kong,"Dalian - Zhoushuizi International Airport, China (DLC)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Qingdao,Hong Kong,"Qingdao, China (TAO)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Shanghai,Hong Kong,"Shanghai - Pu Dong, China (PVG)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
Xiamen,Hong Kong,"Xiamen, China (XMN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:11
El Paso,Hong Kong,"El Paso , TX - El Paso International Airport, USA (ELP)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:11
Groveport,Hong Kong,Groveport,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Los Angeles,Hong Kong,"Los Angeles , CA - International, USA (LAX)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Madison,Hong Kong,"Madison , WI, USA (MSN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Myrtle Beach,Hong Kong,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Newark,Hong Kong,"New York - Newark, NJ, USA (EWR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:12
Paramount,Hong Kong,Paramount,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/3/2018 17:13
Elizabeth,Hong Kong,"Port Elizabeth, South Africa (PLZ)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,093.51 - $1,208.62",1/3/2018 17:13
Zanesville,Hong Kong,Zanesville,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,093.51 - $1,208.62",1/3/2018 17:14
Incheon,Hong Kong,"Seoul - Incheon International Airport, South Korea (ICN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$895.40 - $989.65,1/3/2018 17:14
Istanbul,Hong Kong,"Istanbul - Sabiha Gokcen, Turkey (SAW)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,010.67 - $1,117.05",1/3/2018 17:14
Guadalajara,Hong Kong,"Guadalajara, Mexico (GDL)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$972.35 - $1,074.70",1/3/2018 17:14
Guatemala City,Hong Kong,"Guatemala City - La Aurora International Airport, Guatemala (GUA)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,146.65 - $1,267.35",1/3/2018 17:14
Bangalore,Hong Kong,"Bangalore, India (BLR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/3/2018 17:14
Colombo,Hong Kong,"Colombo - Bandaranaike International Airport, Sri Lanka (CMB)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,016.15 - $1,123.12",1/3/2018 17:14
Dhaka,Hong Kong,"Dhaka - Zia International Airport, Bangladesh (DAC)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,235.88 - $1,365.97",1/3/2018 17:14
Madras,Hong Kong,"Madras (Chennai), India (MAA)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/3/2018 17:15
Mumbai,Hong Kong,"Bombay (Mumbai) - Chhatrapati Shivaji International, India (BOM)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/3/2018 17:15
New Delhi,Hong Kong,New Delhi,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/3/2018 17:15
Hanoi,Hong Kong,"Hanoi - Noibai, Vietnam (HAN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,0,1/3/2018 17:24
Ho Chi Minh City,Hong Kong,"Saigon (Ho Chi Minh City), Vietnam (SGN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,0,1/3/2018 17:25
Jakarta,Hong Kong,"Jakarta - Soekarno-Hatta International, Indonesia (CGK)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,093.51 - $1,208.62",1/3/2018 17:25
Manila,Hong Kong,"Manila - Ninoy Aquino International, Philippines (MNL)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,068.93 - $1,181.45",1/3/2018 17:25
Phnom Penh,Hong Kong,"Phnom Penh - Pochentong, Cambodia (PNH)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,195.37 - $1,321.20",1/3/2018 17:25
BeiLiu,Singapore,BeiLiu,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,200.86 - $1,327.27",1/3/2018 17:26
Dalian,Singapore,"Dalian - Zhoushuizi International Airport, China (DLC)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:26
Dongguan,Singapore,"Dongguan, China (DGM)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:26
Ganzhou,Singapore,Ganzhou,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:27
Heyuan,Singapore,Heyuan,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:27
Hu Zhou,Singapore,Hu Zhou,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:28
Qingdao,Singapore,"Qingdao, China (TAO)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:28
Shanghai,Singapore,"Shanghai - Pu Dong, China (PVG)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:28
Shenzhen,Singapore,"Shenzhen - Baoan, China (SZX)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:28
Xiamen,Singapore,"Xiamen, China (XMN)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:29
Zhongshan,Singapore,Zhongshan,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,034.59 - $1,143.50",1/3/2018 17:29
El Paso,Singapore,"El Paso , TX - El Paso International Airport, USA (ELP)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:29
Groveport,Singapore,Groveport,"Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:30
Los Angeles,Singapore,"Los Angeles , CA - International, USA (LAX)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:30
Madison,Singapore,"Madison , WI, USA (MSN)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:30
Myrtle Beach,Singapore,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:30
Newark,Singapore,"New York - Newark, NJ, USA (EWR)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:30
Paramount,Singapore,Paramount,"Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/3/2018 17:31
Elizabeth,Singapore,"Port Elizabeth, South Africa (PLZ)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,099.00 - $1,214.68",1/3/2018 17:31
Zanesville,Singapore,Zanesville,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,099.00 - $1,214.68",1/3/2018 17:32
Hong Kong,Singapore,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Singapore - Seletar, Singapore (XSP)",Air,Air,$902.36 - $997.35,1/3/2018 17:32
Incheon,Singapore,"Seoul - Incheon International Airport, South Korea (ICN)","Singapore - Seletar, Singapore (XSP)",Air,Air,$900.89 - $995.72,1/3/2018 17:32
Istanbul,Singapore,"Istanbul - Sabiha Gokcen, Turkey (SAW)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,016.16 - $1,123.12",1/3/2018 17:32
Guadalajara,Singapore,"Guadalajara, Mexico (GDL)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$977.84 - $1,080.77",1/3/2018 17:32
Guatemala City,Singapore,"Guatemala City - La Aurora International Airport, Guatemala (GUA)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,152.13 - $1,273.41",1/3/2018 17:32
Bangalore,Singapore,"Bangalore, India (BLR)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,186.07 - $1,310.92",1/3/2018 17:33
Colombo,Singapore,"Colombo - Bandaranaike International Airport, Sri Lanka (CMB)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,021.64 - $1,129.18",1/3/2018 17:33
Dhaka,Singapore,"Dhaka - Zia International Airport, Bangladesh (DAC)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,241.37 - $1,372.04",1/3/2018 17:33
Madras,Singapore,"Madras (Chennai), India (MAA)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,186.07 - $1,310.92",1/3/2018 17:33
Mumbai,Singapore,"Bombay (Mumbai) - Chhatrapati Shivaji International, India (BOM)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,186.07 - $1,310.92",1/3/2018 17:33
New Delhi,Singapore,New Delhi,"Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,186.07 - $1,310.92",1/3/2018 17:34
Hanoi,Singapore,"Hanoi - Noibai, Vietnam (HAN)","Singapore - Seletar, Singapore (XSP)",Air,Air,0,1/3/2018 17:34
Ho Chi Minh City,Singapore,"Saigon (Ho Chi Minh City), Vietnam (SGN)","Singapore - Seletar, Singapore (XSP)",Air,Air,0,1/3/2018 17:35
Jakarta,Singapore,"Jakarta - Soekarno-Hatta International, Indonesia (CGK)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,099.00 - $1,214.68",1/3/2018 17:35
Manila,Singapore,"Manila - Ninoy Aquino International, Philippines (MNL)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,074.41 - $1,187.51",1/3/2018 17:35
Phnom Penh,Singapore,"Phnom Penh - Pochentong, Cambodia (PNH)","Singapore - Seletar, Singapore (XSP)",Air,Air,"$1,200.86 - $1,327.27",1/3/2018 17:35
El Paso,Shenzhen,"El Paso , TX - El Paso International Airport, USA (ELP)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:35
Groveport,Shenzhen,Groveport,"Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:36
Los Angeles,Shenzhen,"Los Angeles , CA - International, USA (LAX)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:36
Madison,Shenzhen,"Madison , WI, USA (MSN)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:36
Myrtle Beach,Shenzhen,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:36
Newark,Shenzhen,"New York - Newark, NJ, USA (EWR)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:36
Paramount,Shenzhen,Paramount,"Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/3/2018 17:37
Elizabeth,Shenzhen,"Port Elizabeth, South Africa (PLZ)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,225.74 - $1,354.77",1/3/2018 17:37
Zanesville,Shenzhen,Zanesville,"Shenzhen - Baoan, China (SZX)",Air,Air,"$1,225.74 - $1,354.77",1/3/2018 17:38
Hong Kong,Shenzhen,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,029.10 - $1,137.43",1/3/2018 17:38
Incheon,Shenzhen,"Seoul - Incheon International Airport, South Korea (ICN)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,027.63 - $1,135.80",1/3/2018 17:38
Istanbul,Shenzhen,"Istanbul - Sabiha Gokcen, Turkey (SAW)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,142.90 - $1,263.20",1/3/2018 17:38
Guadalajara,Shenzhen,"Guadalajara, Mexico (GDL)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,104.58 - $1,220.85",1/3/2018 17:38
Guatemala City,Shenzhen,"Guatemala City - La Aurora International Airport, Guatemala (GUA)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,278.88 - $1,413.49",1/3/2018 17:38
Bangalore,Shenzhen,"Bangalore, India (BLR)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,312.81 - $1,451.00",1/3/2018 17:38
Colombo,Shenzhen,"Colombo - Bandaranaike International Airport, Sri Lanka (CMB)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,148.38 - $1,269.27",1/3/2018 17:39
Dhaka,Shenzhen,"Dhaka - Zia International Airport, Bangladesh (DAC)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,368.11 - $1,512.12",1/3/2018 17:39
Madras,Shenzhen,"Madras (Chennai), India (MAA)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,312.81 - $1,451.00",1/3/2018 17:39
Mumbai,Shenzhen,"Bombay (Mumbai) - Chhatrapati Shivaji International, India (BOM)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,312.81 - $1,451.00",1/3/2018 17:39
New Delhi,Shenzhen,New Delhi,"Shenzhen - Baoan, China (SZX)",Air,Air,"$1,312.81 - $1,451.00",1/3/2018 17:39
Hanoi,Shenzhen,"Hanoi - Noibai, Vietnam (HAN)","Shenzhen - Baoan, China (SZX)",Air,Air,0,1/3/2018 17:40
Ho Chi Minh City,Shenzhen,"Saigon (Ho Chi Minh City), Vietnam (SGN)","Shenzhen - Baoan, China (SZX)",Air,Air,0,1/3/2018 17:41
Jakarta,Shenzhen,"Jakarta - Soekarno-Hatta International, Indonesia (CGK)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,225.74 - $1,354.77",1/3/2018 17:41
Manila,Shenzhen,"Manila - Ninoy Aquino International, Philippines (MNL)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,201.16 - $1,327.59",1/3/2018 17:41
Phnom Penh,Shenzhen,"Phnom Penh - Pochentong, Cambodia (PNH)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,327.60 - $1,467.35",1/3/2018 17:41
BeiLiu,Kuala Lumpur,BeiLiu,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,274.92 - $1,409.12",1/3/2018 17:42
Dalian,Kuala Lumpur,"Dalian - Zhoushuizi International Airport, China (DLC)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:42
Dongguan,Kuala Lumpur,"Dongguan, China (DGM)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:42
Ganzhou,Kuala Lumpur,Ganzhou,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:43
Heyuan,Kuala Lumpur,Heyuan,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:43
Hu Zhou,Kuala Lumpur,Hu Zhou,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:44
Qingdao,Kuala Lumpur,"Qingdao, China (TAO)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:44
Shanghai,Kuala Lumpur,"Shanghai - Pu Dong, China (PVG)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:44
Shenzhen,Kuala Lumpur,"Shenzhen - Baoan, China (SZX)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:44
Xiamen,Kuala Lumpur,"Xiamen, China (XMN)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:44
Zhongshan,Kuala Lumpur,Zhongshan,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,108.65 - $1,225.35",1/3/2018 17:45
El Paso,Kuala Lumpur,"El Paso , TX - El Paso International Airport, USA (ELP)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:45
Groveport,Kuala Lumpur,Groveport,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:46
Los Angeles,Kuala Lumpur,"Los Angeles , CA - International, USA (LAX)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:46
Madison,Kuala Lumpur,"Madison , WI, USA (MSN)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:46
Myrtle Beach,Kuala Lumpur,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:46
Newark,Kuala Lumpur,"New York - Newark, NJ, USA (EWR)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:46
Paramount,Kuala Lumpur,Paramount,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/3/2018 17:47
Elizabeth,Kuala Lumpur,"Port Elizabeth, South Africa (PLZ)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,173.06 - $1,296.54",1/3/2018 17:47
Zanesville,Kuala Lumpur,Zanesville,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,173.06 - $1,296.54",1/3/2018 17:48
Hong Kong,Kuala Lumpur,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$976.42 - $1,079.20",1/3/2018 17:48
Incheon,Kuala Lumpur,"Seoul - Incheon International Airport, South Korea (ICN)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$974.95 - $1,077.58",1/3/2018 17:48
Istanbul,Kuala Lumpur,"Istanbul - Sabiha Gokcen, Turkey (SAW)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,090.22 - $1,204.98",1/3/2018 17:48
Guadalajara,Kuala Lumpur,"Guadalajara, Mexico (GDL)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,051.90 - $1,162.62",1/3/2018 17:48
Guatemala City,Kuala Lumpur,"Guatemala City - La Aurora International Airport, Guatemala (GUA)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,226.19 - $1,355.27",1/3/2018 17:48
Bangalore,Kuala Lumpur,"Bangalore, India (BLR)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,260.13 - $1,392.77",1/3/2018 17:48
Colombo,Kuala Lumpur,"Colombo - Bandaranaike International Airport, Sri Lanka (CMB)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,095.70 - $1,211.04",1/3/2018 17:48
Dhaka,Kuala Lumpur,"Dhaka - Zia International Airport, Bangladesh (DAC)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,315.43 - $1,453.89",1/3/2018 17:48
Madras,Kuala Lumpur,"Madras (Chennai), India (MAA)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,260.13 - $1,392.77",1/3/2018 17:49
Mumbai,Kuala Lumpur,"Bombay (Mumbai) - Chhatrapati Shivaji International, India (BOM)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,260.13 - $1,392.77",1/3/2018 17:49
New Delhi,Kuala Lumpur,New Delhi,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,260.13 - $1,392.77",1/3/2018 17:49
Hanoi,Kuala Lumpur,"Hanoi - Noibai, Vietnam (HAN)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,0,1/3/2018 17:50
Ho Chi Minh City,Kuala Lumpur,"Saigon (Ho Chi Minh City), Vietnam (SGN)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,0,1/3/2018 17:51
Jakarta,Kuala Lumpur,"Jakarta - Soekarno-Hatta International, Indonesia (CGK)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,173.06 - $1,296.54",1/3/2018 17:51
Manila,Kuala Lumpur,"Manila - Ninoy Aquino International, Philippines (MNL)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,148.47 - $1,269.37",1/3/2018 17:51
Phnom Penh,Kuala Lumpur,"Phnom Penh - Pochentong, Cambodia (PNH)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$1,274.92 - $1,409.12",1/3/2018 17:51
Hong Kong,Tokyo,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Tokyo - Narita, Japan (NRT)",Air,Air,$893.94 - $988.04,1/3/2018 17:51
Hong Kong,Kuwait City,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Kuwait City,Air,Air,$893.94 - $988.04,1/3/2018 17:52
Hong Kong,Seoul,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Seoul - Kimpo, South Korea (SEL)",Air,Air,$895.40 - $989.65,1/3/2018 17:52
Hong Kong,Taipei,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Taipei - Sung Shan, Taiwan (TAY)",Air,Air,"$962.44 - $1,063.75",1/3/2018 17:52
Hong Kong,Abu Dhabi,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)","Abu Dhabi - Abu Dhabi International, United Arab Emirates (AUH)",Air,Air,"$944.91 - $1,044.38",1/3/2018 17:52
Singapore,Hong Kong,"Singapore - Paya Lebar, Singapore (QPG)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$902.36 - $997.35,1/3/2018 17:52
Singapore,Tokyo,"Singapore - Paya Lebar, Singapore (QPG)","Tokyo - Narita, Japan (NRT)",Air,Air,$899.43 - $994.10,1/3/2018 17:52
Singapore,Kuwait City,"Singapore - Seletar, Singapore (XSP)",Kuwait City,Air,Air,$899.43 - $994.10,1/3/2018 17:53
