Orig,Dest,Orig_txt,Dest_txt,Mode,Equipment,Rate,extraction_time
Singapore,Seoul,"Singapore - Seletar, Singapore (XSP)","Seoul - Kimpo, South Korea (SEL)",Air,Air,$900.89 - $995.72,1/3/2018 17:53
Singapore,Taipei,"Singapore - Seletar, Singapore (XSP)","Taipei - Sung Shan, Taiwan (TAY)",Air,Air,"$967.93 - $1,069.81",1/3/2018 17:53
Singapore,Abu Dhabi,"Singapore - Seletar, Singapore (XSP)","Abu Dhabi - Abu Dhabi International, United Arab Emirates (AUH)",Air,Air,"$950.40 - $1,050.44",1/3/2018 17:53
Shenzhen,Tokyo,"Shenzhen - Baoan, China (SZX)","Tokyo - Narita, Japan (NRT)",Air,Air,"$1,026.17 - $1,134.18",1/3/2018 17:53
Shenzhen,Kuwait City,"Shenzhen - Baoan, China (SZX)",Kuwait City,Air,Air,"$1,026.17 - $1,134.18",1/3/2018 17:54
Shenzhen,Seoul,"Shenzhen - Baoan, China (SZX)","Seoul - Kimpo, South Korea (SEL)",Air,Air,"$1,027.63 - $1,135.80",1/3/2018 17:54
Shenzhen,Taipei,"Shenzhen - Baoan, China (SZX)","Taipei - Sung Shan, Taiwan (TAY)",Air,Air,"$1,094.67 - $1,209.90",1/3/2018 17:54
Shenzhen,Abu Dhabi,"Shenzhen - Baoan, China (SZX)","Abu Dhabi - Abu Dhabi International, United Arab Emirates (AUH)",Air,Air,"$1,077.14 - $1,190.52",1/3/2018 17:54
Kuala Lumpur,Hong Kong,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$976.42 - $1,079.20",1/3/2018 17:54
Kuala Lumpur,Tokyo,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)","Tokyo - Narita, Japan (NRT)",Air,Air,"$973.49 - $1,075.96",1/3/2018 17:54
Kuala Lumpur,Kuwait City,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Kuwait City,Air,Air,"$973.49 - $1,075.96",1/3/2018 17:55
Kuala Lumpur,Seoul,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)","Seoul - Kimpo, South Korea (SEL)",Air,Air,"$974.95 - $1,077.58",1/3/2018 17:55
Kuala Lumpur,Taipei,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)","Taipei - Sung Shan, Taiwan (TAY)",Air,Air,"$1,041.99 - $1,151.67",1/3/2018 17:55
Kuala Lumpur,Abu Dhabi,"Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)","Abu Dhabi - Abu Dhabi International, United Arab Emirates (AUH)",Air,Air,"$1,024.46 - $1,132.30",1/3/2018 17:55
Dalian,Hong Kong,"Dalian, China","Kwai Chung, Hong Kong",Ocean,20FT,$306.69 - $338.98,1/3/2018 18:10
Qingdao,Hong Kong,"Qingdao, China","Kwai Chung, Hong Kong",Ocean,20FT,$256.06 - $283.01,1/3/2018 18:10
Shanghai,Hong Kong,"Shanghai, China","Kwai Chung, Hong Kong",Ocean,20FT,$262.63 - $290.28,1/3/2018 18:11
Elizabeth,Hong Kong,"Port Elizabeth, South Africa","Kwai Chung, Hong Kong",Ocean,20FT,$661.48 - $731.11,1/3/2018 18:11
Chittagong,Hong Kong,"Chittagong, Bangladesh","Kwai Chung, Hong Kong",Ocean,20FT,$447.63 - $494.75,1/3/2018 18:11
Madras,Hong Kong,Madras,"Kwai Chung, Hong Kong",Ocean,20FT,$447.63 - $494.75,1/3/2018 18:11
Nhava Sheva,Hong Kong,Nhava Sheva,"Kwai Chung, Hong Kong",Ocean,20FT,$447.63 - $494.75,1/3/2018 18:12
Hai Phong,Hong Kong,"Hai Phong, Vietnam","Kwai Chung, Hong Kong",Ocean,20FT,$194.75 - $215.25,1/3/2018 18:12
Ho Chi Minh City,Hong Kong,"Ho Chi Minh City, Vietnam","Kwai Chung, Hong Kong",Ocean,20FT,$435.16 - $480.97,1/3/2018 18:12
Jakarta,Hong Kong,"Jakarta, Indonesia","Kwai Chung, Hong Kong",Ocean,20FT,$288.57 - $318.95,1/3/2018 18:12
Manila,Hong Kong,"Manila, Philippines","Kwai Chung, Hong Kong",Ocean,20FT,$194.75 - $215.25,1/3/2018 18:12
Sihanoukville,Hong Kong,"Sihanoukville, Cambodia","Kwai Chung, Hong Kong",Ocean,20FT,$541.17 - $598.14,1/3/2018 18:13
Dalian,Singapore,"Dalian, China","Singapore, Singapore",Ocean,20FT,$194.75 - $215.25,1/3/2018 18:13
Shanghai,Singapore,"Shanghai, China","Singapore, Singapore",Ocean,20FT,$194.75 - $215.25,1/3/2018 18:13
Elizabeth,Singapore,"Port Elizabeth, South Africa","Singapore, Singapore",Ocean,20FT,$488.53 - $539.95,1/3/2018 18:13
Hong Kong,Singapore,"Kwai Chung, Hong Kong","Singapore, Singapore",Ocean,20FT,$194.75 - $215.25,1/3/2018 18:13
Chittagong,Singapore,"Chittagong, Bangladesh","Singapore, Singapore",Ocean,20FT,$502.79 - $555.71,1/3/2018 18:13
Madras,Singapore,Madras,"Singapore, Singapore",Ocean,20FT,$502.79 - $555.71,1/3/2018 18:14
Nhava Sheva,Singapore,Nhava Sheva,"Singapore, Singapore",Ocean,20FT,$502.79 - $555.71,1/3/2018 18:14
Hai Phong,Singapore,"Hai Phong, Vietnam","Singapore, Singapore",Ocean,20FT,$224.68 - $248.34,1/3/2018 18:15
Ho Chi Minh City,Singapore,"Ho Chi Minh City, Vietnam","Singapore, Singapore",Ocean,20FT,$480.93 - $531.55,1/3/2018 18:15
Jakarta,Singapore,"Jakarta, Indonesia","Singapore, Singapore",Ocean,20FT,$424.48 - $469.16,1/3/2018 18:15
Manila,Singapore,"Manila, Philippines","Singapore, Singapore",Ocean,20FT,$305.23 - $337.35,1/3/2018 18:15
Sihanoukville,Singapore,"Sihanoukville, Cambodia","Singapore, Singapore",Ocean,20FT,$499.61 - $552.20,1/3/2018 18:15
Elizabeth,Shenzhen,"Port Elizabeth, South Africa",Shenzhen,Ocean,20FT,$488.53 - $539.95,1/3/2018 18:16
Hong Kong,Shenzhen,"Kwai Chung, Hong Kong",Shenzhen,Ocean,20FT,$194.75 - $215.25,1/3/2018 18:16
Chittagong,Shenzhen,"Chittagong, Bangladesh",Shenzhen,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:17
Madras,Shenzhen,Madras,Shenzhen,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:18
Nhava Sheva,Shenzhen,Nhava Sheva,Shenzhen,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:19
Hai Phong,Shenzhen,"Hai Phong, Vietnam",Shenzhen,Ocean,20FT,$224.68 - $248.34,1/3/2018 18:20
Ho Chi Minh City,Shenzhen,"Ho Chi Minh City, Vietnam",Shenzhen,Ocean,20FT,$480.93 - $531.55,1/3/2018 18:20
Jakarta,Shenzhen,"Jakarta, Indonesia",Shenzhen,Ocean,20FT,$424.48 - $469.16,1/3/2018 18:21
Manila,Shenzhen,"Manila, Philippines",Shenzhen,Ocean,20FT,$305.23 - $337.35,1/3/2018 18:22
Sihanoukville,Shenzhen,Sihanoukville,Shenzhen,Ocean,20FT,$305.23 - $337.35,1/3/2018 18:23
Dalian,Kuala Lumpur,"Dalian, China",Kuala Lumpur,Ocean,20FT,$194.75 - $215.25,1/3/2018 18:24
Qingdao,Kuala Lumpur,"Qingdao, China",Kuala Lumpur,Ocean,20FT,$194.75 - $215.25,1/3/2018 18:24
Shanghai,Kuala Lumpur,"Shanghai, China",Kuala Lumpur,Ocean,20FT,$194.75 - $215.25,1/3/2018 18:25
Elizabeth,Kuala Lumpur,"Port Elizabeth, South Africa",Kuala Lumpur,Ocean,20FT,$488.53 - $539.95,1/3/2018 18:25
Hong Kong,Kuala Lumpur,"Kwai Chung, Hong Kong",Kuala Lumpur,Ocean,20FT,$194.75 - $215.25,1/3/2018 18:26
Chittagong,Kuala Lumpur,"Chittagong, Bangladesh",Kuala Lumpur,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:27
Madras,Kuala Lumpur,Madras,Kuala Lumpur,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:28
Nhava Sheva,Kuala Lumpur,Nhava Sheva,Kuala Lumpur,Ocean,20FT,$502.79 - $555.71,1/3/2018 18:29
Hai Phong,Kuala Lumpur,"Hai Phong, Vietnam",Kuala Lumpur,Ocean,20FT,$224.68 - $248.34,1/3/2018 18:30
Ho Chi Minh City,Kuala Lumpur,"Ho Chi Minh City, Vietnam",Kuala Lumpur,Ocean,20FT,$480.93 - $531.55,1/3/2018 18:30
Jakarta,Kuala Lumpur,"Jakarta, Indonesia",Kuala Lumpur,Ocean,20FT,$424.48 - $469.16,1/3/2018 18:31
Manila,Kuala Lumpur,"Manila, Philippines",Kuala Lumpur,Ocean,20FT,$305.23 - $337.35,1/3/2018 18:32
Sihanoukville,Kuala Lumpur,"Sihanoukville, Cambodia",Kuala Lumpur,Ocean,20FT,$499.61 - $552.20,1/3/2018 18:32
Qingdao,Hong Kong,"Qingdao, China","Kwai Chung, Hong Kong",Ocean,40FT,$382.17 - $422.40,1/3/2018 22:10
Shanghai,Hong Kong,"Shanghai, China","Kwai Chung, Hong Kong",Ocean,40FT,$391.99 - $433.25,1/3/2018 22:10
Elizabeth,Hong Kong,"Port Elizabeth, South Africa","Kwai Chung, Hong Kong",Ocean,40FT,"$987.29 - $1,091.22",1/3/2018 22:10
Hai Phong,Hong Kong,"Hai Phong, Vietnam","Kwai Chung, Hong Kong",Ocean,40FT,$260.85 - $288.31,1/3/2018 22:10
Ho Chi Minh City,Hong Kong,"Ho Chi Minh City, Vietnam","Kwai Chung, Hong Kong",Ocean,40FT,$649.50 - $717.87,1/3/2018 22:10
Jakarta,Hong Kong,"Jakarta, Indonesia","Kwai Chung, Hong Kong",Ocean,40FT,$430.71 - $476.04,1/3/2018 22:10
Shanghai,Singapore,"Shanghai, China","Singapore, Singapore",Ocean,40FT,$219.94 - $243.09,1/3/2018 22:11
Elizabeth,Singapore,"Port Elizabeth, South Africa","Singapore, Singapore",Ocean,40FT,$729.14 - $805.90,1/3/2018 22:11
Hai Phong,Singapore,"Hai Phong, Vietnam","Singapore, Singapore",Ocean,40FT,$335.35 - $370.65,1/3/2018 22:11
Ho Chi Minh City,Singapore,"Ho Chi Minh City, Vietnam","Singapore, Singapore",Ocean,40FT,$717.81 - $793.37,1/3/2018 22:11
Jakarta,Singapore,"Jakarta, Indonesia","Singapore, Singapore",Ocean,40FT,$633.55 - $700.23,1/3/2018 22:11
Elizabeth,Shenzhen,"Port Elizabeth, South Africa",Shenzhen,Ocean,40FT,$729.14 - $805.90,1/3/2018 22:12
Hai Phong,Shenzhen,"Hai Phong, Vietnam",Shenzhen,Ocean,40FT,$335.35 - $370.65,1/3/2018 22:12
Ho Chi Minh City,Shenzhen,"Ho Chi Minh City, Vietnam",Shenzhen,Ocean,40FT,$717.81 - $793.37,1/3/2018 22:13
Jakarta,Shenzhen,"Jakarta, Indonesia",Shenzhen,Ocean,40FT,$633.55 - $700.23,1/3/2018 22:14
Qingdao,Kuala Lumpur,"Qingdao, China",Kuala Lumpur,Ocean,40FT,$210.12 - $232.24,1/3/2018 22:14
Shanghai,Kuala Lumpur,"Shanghai, China",Kuala Lumpur,Ocean,40FT,$219.94 - $243.09,1/3/2018 22:15
Elizabeth,Kuala Lumpur,"Port Elizabeth, South Africa",Kuala Lumpur,Ocean,40FT,$729.14 - $805.90,1/3/2018 22:15
Hai Phong,Kuala Lumpur,"Hai Phong, Vietnam",Kuala Lumpur,Ocean,40FT,$335.35 - $370.65,1/3/2018 22:16
Ho Chi Minh City,Kuala Lumpur,"Ho Chi Minh City, Vietnam",Kuala Lumpur,Ocean,40FT,$717.81 - $793.37,1/3/2018 22:17
Jakarta,Kuala Lumpur,"Jakarta, Indonesia",Kuala Lumpur,Ocean,40FT,$633.55 - $700.23,1/3/2018 22:17
Jakarta,Hong Kong,"Jakarta, Indonesia","Kwai Chung, Hong Kong",Ocean,40FT,$473.78 - $523.65,1/3/2018 22:24
Jakarta,Singapore,"Jakarta, Indonesia","Singapore, Singapore",Ocean,40FT,$696.90 - $770.26,1/3/2018 22:24
Jakarta,Shenzhen,"Jakarta, Indonesia","Xiagang, China",Ocean,40FT,$530.52 - $586.36,1/3/2018 22:25
Jakarta,Kuala Lumpur,"Jakarta, Indonesia","Port Kelang, Malaysia",Ocean,40FT,$703.87 - $777.96,1/3/2018 22:26
New York,Hong Kong,"New York - Newark, NJ, USA (EWR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 10:20
New York,Singapore,"New York - Newark, NJ, USA (EWR)","Singapore - Seletar, Singapore (XSP)",Air,Air,$887.59 - $981.02,1/4/2018 10:21
New York,Shenzhen,"New York - Newark, NJ, USA (EWR)","Shenzhen - Baoan, China (SZX)",Air,Air,"$1,014.33 - $1,121.10",1/4/2018 10:21
New York,Kuala Lumpur,"New York - Newark, NJ, USA (EWR)","Kuala Lumpur - Sultan Abdul Aziz Shah, Malaysia (SZB)",Air,Air,"$961.65 - $1,062.88",1/4/2018 10:21
New Jersey,Hong Kong,"New Jersey, United States","Kwai Chung, Hong Kong",Ocean,20FT,$629.25 - $695.49,1/4/2018 10:24
New Jersey,Singapore,"New Jersey, United States","Singapore, Singapore",Ocean,20FT,$817.55 - $903.61,1/4/2018 10:24
New Jersey,Shantou,"New Jersey, United States","Shantou, China",Ocean,20FT,$678.58 - $750.01,1/4/2018 10:24
Hong Kong,Shantou,"Kwai Chung, Hong Kong","Shantou, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:24
Chittagong,Shantou,"Chittagong, Bangladesh","Shantou, China",Ocean,20FT,$485.63 - $536.75,1/4/2018 10:24
Madras,Shantou,Madras,"Shantou, China",Ocean,20FT,$485.63 - $536.75,1/4/2018 10:25
Nhava Sheva,Shantou,Nhava Sheva,"Shantou, China",Ocean,20FT,$485.63 - $536.75,1/4/2018 10:26
Hai Phong,Shantou,"Hai Phong, Vietnam","Shantou, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:26
Ho Chi Minh City,Shantou,"Ho Chi Minh City, Vietnam","Shantou, China",Ocean,20FT,$463.51 - $512.31,1/4/2018 10:26
Jakarta,Shantou,"Jakarta, Indonesia","Shantou, China",Ocean,20FT,$316.92 - $350.28,1/4/2018 10:26
Manila,Shantou,"Manila, Philippines","Shantou, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:26
Sihanoukville,Shantou,"Sihanoukville, Cambodia","Shantou, China",Ocean,20FT,$569.52 - $629.47,1/4/2018 10:26
Dalian,"Port Kelang, Malaysia","Dalian, China","Port Kelang, Malaysia",Ocean,20FT,$200.14 - $221.21,1/4/2018 10:26
Qingdao,"Port Kelang, Malaysia","Qingdao, China","Port Kelang, Malaysia",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:27
Shanghai,"Port Kelang, Malaysia","Shanghai, China","Port Kelang, Malaysia",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:28
New Jersey,"Port Kelang, Malaysia","New Jersey, United States","Port Kelang, Malaysia",Ocean,20FT,$833.07 - $920.76,1/4/2018 10:28
Hong Kong,"Port Kelang, Malaysia","Kwai Chung, Hong Kong","Port Kelang, Malaysia",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:30
Chittagong,"Port Kelang, Malaysia","Chittagong, Bangladesh","Port Kelang, Malaysia",Ocean,20FT,$514.67 - $568.84,1/4/2018 10:30
Madras,"Port Kelang, Malaysia",Madras,"Port Kelang, Malaysia",Ocean,20FT,$514.67 - $568.84,1/4/2018 10:32
Nhava Sheva,"Port Kelang, Malaysia",Nhava Sheva,"Port Kelang, Malaysia",Ocean,20FT,$514.67 - $568.84,1/4/2018 10:33
Hai Phong,"Port Kelang, Malaysia","Hai Phong, Vietnam","Port Kelang, Malaysia",Ocean,20FT,$233.40 - $257.97,1/4/2018 10:34
Ho Chi Minh City,"Port Kelang, Malaysia","Ho Chi Minh City, Vietnam","Port Kelang, Malaysia",Ocean,20FT,$485.74 - $536.87,1/4/2018 10:34
Jakarta,"Port Kelang, Malaysia","Jakarta, Indonesia","Port Kelang, Malaysia",Ocean,20FT,$428.72 - $473.85,1/4/2018 10:35
Manila,"Port Kelang, Malaysia","Manila, Philippines","Port Kelang, Malaysia",Ocean,20FT,$313.94 - $346.99,1/4/2018 10:35
Sihanoukville,"Port Kelang, Malaysia","Sihanoukville, Cambodia","Port Kelang, Malaysia",Ocean,20FT,$504.60 - $557.72,1/4/2018 10:36
New Jersey,Zhanjiang,"New Jersey, United States","Zhanjiang, China",Ocean,20FT,$677.91 - $749.27,1/4/2018 10:36
Hong Kong,Zhanjiang,"Kwai Chung, Hong Kong","Zhanjiang, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:36
Chittagong,Zhanjiang,"Chittagong, Bangladesh","Zhanjiang, China",Ocean,20FT,$484.96 - $536.01,1/4/2018 10:36
Madras,Zhanjiang,Madras,"Zhanjiang, China",Ocean,20FT,$484.96 - $536.01,1/4/2018 10:37
Nhava Sheva,Zhanjiang,Nhava Sheva,"Zhanjiang, China",Ocean,20FT,$484.96 - $536.01,1/4/2018 10:38
Hai Phong,Zhanjiang,"Hai Phong, Vietnam","Zhanjiang, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:38
Ho Chi Minh City,Zhanjiang,"Ho Chi Minh City, Vietnam","Zhanjiang, China",Ocean,20FT,$462.84 - $511.56,1/4/2018 10:38
Jakarta,Zhanjiang,"Jakarta, Indonesia","Zhanjiang, China",Ocean,20FT,$316.25 - $349.54,1/4/2018 10:38
Manila,Zhanjiang,"Manila, Philippines","Zhanjiang, China",Ocean,20FT,$194.75 - $215.25,1/4/2018 10:38
Sihanoukville,Zhanjiang,"Sihanoukville, Cambodia","Zhanjiang, China",Ocean,20FT,$568.85 - $628.73,1/4/2018 10:38
New Jersey,Hong Kong,"New Jersey, United States","Kwai Chung, Hong Kong",Ocean,40FT,"$939.18 - $1,038.04",1/4/2018 10:40
New Jersey,Singapore,"New Jersey, United States","Singapore, Singapore",Ocean,40FT,"$1,220.22 - $1,348.67",1/4/2018 10:40
New Jersey,Shantou,"New Jersey, United States","Shantou, China",Ocean,40FT,"$1,012.81 - $1,119.42",1/4/2018 10:40
Hai Phong,Shantou,"Hai Phong, Vietnam","Shantou, China",Ocean,40FT,$273.90 - $302.73,1/4/2018 10:40
Ho Chi Minh City,Shantou,"Ho Chi Minh City, Vietnam","Shantou, China",Ocean,40FT,$691.81 - $764.64,1/4/2018 10:40
Jakarta,Shantou,"Jakarta, Indonesia","Shantou, China",Ocean,40FT,$473.02 - $522.81,1/4/2018 10:40
Qingdao,Port Kelang,"Qingdao, China","Port Kelang, Malaysia",Ocean,40FT,$223.14 - $246.62,1/4/2018 10:41
Shanghai,Port Kelang,"Shanghai, China","Port Kelang, Malaysia",Ocean,40FT,$232.95 - $257.47,1/4/2018 10:41
New Jersey,Port Kelang,"New Jersey, United States","Port Kelang, Malaysia",Ocean,40FT,"$1,243.38 - $1,374.26",1/4/2018 10:41
Hai Phong,Port Kelang,"Hai Phong, Vietnam","Port Kelang, Malaysia",Ocean,40FT,$348.36 - $385.03,1/4/2018 10:41
Ho Chi Minh City,Port Kelang,"Ho Chi Minh City, Vietnam","Port Kelang, Malaysia",Ocean,40FT,$724.98 - $801.30,1/4/2018 10:41
Jakarta,Port Kelang,"Jakarta, Indonesia","Port Kelang, Malaysia",Ocean,40FT,$639.88 - $707.24,1/4/2018 10:41
New Jersey,Zhanjiang,"New Jersey, United States",Zhanjiang,Ocean,40FT,$639.88 - $707.24,1/4/2018 10:42
Hai Phong,Zhanjiang,"Hai Phong, Vietnam","Zhanjiang, China",Ocean,40FT,$273.90 - $302.73,1/4/2018 10:42
Ho Chi Minh City,Zhanjiang,"Ho Chi Minh City, Vietnam","Zhanjiang, China",Ocean,40FT,$690.81 - $763.53,1/4/2018 10:42
Jakarta,Zhanjiang,"Jakarta, Indonesia","Zhanjiang, China",Ocean,40FT,$472.02 - $521.71,1/4/2018 10:42
Jakarta,Shantou,"Jakarta, Indonesia","Shantou, China",Ocean,45FT,$520.32 - $575.09,1/4/2018 10:43
Jakarta,Port Kelang,"Jakarta, Indonesia","Port Kelang, Malaysia",Ocean,45FT,$703.87 - $777.96,1/4/2018 10:43
Jakarta,Zhanjiang,"Jakarta, Indonesia","Zhanjiang, China",Ocean,45FT,$519.22 - $573.88,1/4/2018 10:43
Dalian,Hong Kong,"Dalian - Zhoushuizi International Airport, China (DLC)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/4/2018 11:55
Qingdao,Hong Kong,"Qingdao, China (TAO)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/4/2018 11:55
Shanghai,Hong Kong,"Shanghai - Pu Dong, China (PVG)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/4/2018 11:55
Xiamen,Hong Kong,"Xiamen, China (XMN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,029.10 - $1,137.43",1/4/2018 11:55
El Paso,Hong Kong,"El Paso , TX - El Paso International Airport, USA (ELP)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:56
Groveport,Hong Kong,Groveport,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:56
Los Angeles,Hong Kong,"Los Angeles , CA - International, USA (LAX)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:57
Madison,Hong Kong,"Madison , WI, USA (MSN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:57
Myrtle Beach,Hong Kong,"Myrtle Beach, SC - Myrtle Beach AFB, USA (MYR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:57
Newark,Hong Kong,"New York - Newark, NJ, USA (EWR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:57
Paramount,Hong Kong,Paramount,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:58
New York,Hong Kong,"New York - Newark, NJ, USA (EWR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:58
Zanesville,Hong Kong,Zanesville,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$882.10 - $974.96,1/4/2018 11:59
Incheon,Hong Kong,"Seoul - Incheon International Airport, South Korea (ICN)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,$895.40 - $989.65,1/4/2018 11:59
Istanbul,Hong Kong,"Istanbul - Sabiha Gokcen, Turkey (SAW)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,010.67 - $1,117.05",1/4/2018 11:59
Guadalajara,Hong Kong,"Guadalajara, Mexico (GDL)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$972.35 - $1,074.70",1/4/2018 12:00
Guatemala City,Hong Kong,"Guatemala City - La Aurora International Airport, Guatemala (GUA)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,146.65 - $1,267.35",1/4/2018 12:00
Bangalore,Hong Kong,"Bangalore, India (BLR)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/4/2018 12:00
Colombo,Hong Kong,"Colombo - Bandaranaike International Airport, Sri Lanka (CMB)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,016.15 - $1,123.12",1/4/2018 12:00
Dhaka,Hong Kong,"Dhaka - Zia International Airport, Bangladesh (DAC)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,235.88 - $1,365.97",1/4/2018 12:01
Madras,Hong Kong,"Madras (Chennai), India (MAA)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/4/2018 12:01
Mumbai,Hong Kong,"Bombay (Mumbai) - Chhatrapati Shivaji International, India (BOM)","Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/4/2018 12:01
New Delhi,Hong Kong,New Delhi,"Hong Kong - International Airport (HKIA), Hong Kong (HKG)",Air,Air,"$1,180.58 - $1,304.85",1/4/2018 12:02
